org,channel,product,planner
org1,Non Revenue,MAP BZ,user1
org1,Non Revenue,MAP CD,user1
org1,Non Revenue,MAP CX,user1
org1,Non Revenue,F TAA,user1
org1,Non Revenue,MAP CB,user1
org1,Non Revenue,MAP CH,user3
org1,Non Revenue,MAP CI,user1
org1,Non Revenue,MAP CU,user1
org1,Non Revenue,FJM A,user1
org1,Non Revenue,MACCQ,user1
org1,Non Revenue,MAP DH,user1
org1,Non Revenue,MAP DL,user1
org1,Non Revenue,MAO BG,user3
org1,Non Revenue,MAO BJ,user1
org1,Non Revenue,MAO BS,user1
org1,Non Revenue,MAO BT,user1
org1,Non Revenue,MAO CG,user1
org1,Non Revenue,MAO CM,user1
org1,Non Revenue,MAO BN,user1
org1,Non Revenue,MAO BO,user1
org1,Non Revenue,MAO BP,user1
org1,Non Revenue,MAO BR,user1
org1,Non Revenue,MAP DA,user1
org1,Non Revenue,MAO BU,user1
org1,Non Revenue,MAO BC,user1
org1,Non Revenue,MAO BI,user1
org1,Non Revenue,FNIICF,user3
org1,Non Revenue,ANTOCB,user1
org1,Non Revenue,FNIICA,user1
org1,Non Revenue,ANTNCB,user3
org1,Non Revenue,B PDEE,user1
org1,Non Revenue,B PDBP,user1
org1,Non Revenue,B PDBS,user1
org1,Non Revenue,B PDBV,user1
org1,Non Revenue,B Z F,user1
org1,Non Revenue,C D B,user1
org1,Non Revenue,E A G,user1
org1,Non Revenue,A G AE,user1
org1,Non Revenue,A G AI,user1
org1,Non Revenue,A G AJ,user1
org1,Non Revenue,A G AB,user1
org1,Non Revenue,ONHCDT,user2
org1,Non Revenue,ONHEDT,user1
org1,Non Revenue,C D N,user3
org1,Non Revenue,MBBGC,user1
org1,Non Revenue,A G AC,user1
org1,Non Revenue,MACBEC,user1
org1,Non Revenue,F Y I,user2
org1,Non Revenue,F Y H,user3
org1,Non Revenue,MBCBAK,user1
org1,Non Revenue,O N A,user1
org1,Non Revenue,UJZSB,user1
org1,Non Revenue,U E AA,user2
org1,Non Revenue,MAO CI,user2
org1,Non Revenue,BJG B,user1
org1,Non Revenue,MAO BX,user3
org1,Non Revenue,E A AA,user2
org1,Non Revenue,E B A,user3
org1,Non Revenue,O B FA,user1
